sample,strain,timepoint,condition,replicate,raw_reads,assembled_reads
A1,SC5314,TP0,YPD,1,10277358,10223857
A2,SC5314,TP0,YPD,2,10567735,10513473
A3,SC5314,TP0,YPD,3,10837769,10769662
A4,SC5314,TP0,YPD,4,13860937,13779968
B1,SC5314,TP3,YPD,1,12439584,12372752
B2,SC5314,TP3,YPD,2,10844845,10791416
B3,SC5314,TP3,YPD,3,14845423,14763394
B4,SC5314,TP3,YPD,4,13560101,13503607
C1,SC5314,TP3,Low_FLZ,1,12468523,12398106
C2,SC5314,TP3,Low_FLZ,2,11801510,11742504
C3,SC5314,TP3,Low_FLZ,3,12766761,12686531
C4,SC5314,TP3,Low_FLZ,4,10803047,10752654
D1,SC5314,TP3,High_FLZ,1,14095368,14008063
D2,SC5314,TP3,High_FLZ,2,10495429,10438397
D3,SC5314,TP3,High_FLZ,3,14516059,14419855
D4,SC5314,TP3,High_FLZ,4,7791167,7745379
